dataset,role,n,positive_rate,auroc,aupr,macro_f1,balanced_accuracy,sensitivity_at_specificity_0_90,ece,brier,threshold,temperature,bias
APTOS2019,source,3662,0.4060622610595303,0.935958382610981,0.9008268410048282,0.8624824789715153,0.866811214433133,0.7955615332885003,0.019926895167402415,0.09914277271686986,0.4554110192619407,1.1204854008908787,-0.2999999999999998
IDRiD,target,516,0.625968992248062,0.7035964644925328,0.8121040816989544,0.6125585308888395,0.6377307945267008,0.3188854489164087,0.1962625606752312,0.256299526158363,0.4554110192619407,1.1204854008908787,-0.2999999999999998
