dataset,role,n,positive_rate,auroc,aupr,macro_f1,balanced_accuracy,sensitivity_at_specificity_0_90,ece,brier,linear_probe_scoring
APTOS2019,source,3662,0.4060622610595303,0.935958382610981,0.9008268410048282,0.8585315976759863,0.86462212740301,0.7955615332885003,0.032882224764666505,0.10032889750230106,5_fold_source_oof
IDRiD,target,516,0.625968992248062,0.7035964644925328,0.8121040816989544,0.6123421563865954,0.6309372944705561,0.3188854489164087,0.17839568484747673,0.24505897815699987,source_linear_probe
