dataset,role,n,positive_rate,auroc,aupr,macro_f1,balanced_accuracy,sensitivity_at_specificity_0_90,ece,brier,linear_probe_scoring
APTOS2019,source,3662,0.4060622610595303,0.9359787893544821,0.9008884237154238,0.8588221275164022,0.8649583748811539,0.7975790181573639,0.03253044584229042,0.10031224146551707,5_fold_source_oof
MESSIDOR2,target,1744,0.26204128440366975,0.4059786554316095,0.22565621646120393,0.4427577284630713,0.496352176877341,0.05470459518599562,0.22202795243239562,0.25131738215989113,source_linear_probe
